"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","01.01.2025 20:00 - 01.01.2025 21:00 (CET/CEST)","185","n/e","n/e","n/e","41","63","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","915","468"
"BZN|DK2","01.01.2025 21:00 - 01.01.2025 22:00 (CET/CEST)","177","n/e","n/e","n/e","41","63","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","919","476"
"BZN|DK2","01.01.2025 22:00 - 01.01.2025 23:00 (CET/CEST)","181","n/e","n/e","n/e","41","63","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","37","906","470"
"BZN|DK2","01.01.2025 23:00 - 02.01.2025 00:00 (CET/CEST)","160","n/e","n/e","n/e","42","64","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","890","441"
"BZN|DK2","02.01.2025 00:00 - 02.01.2025 01:00 (CET/CEST)","189","n/e","n/e","n/e","41","64","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","639","340"
"BZN|DK2","02.01.2025 01:00 - 02.01.2025 02:00 (CET/CEST)","248","n/e","n/e","n/e","42","64","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","37","615","273"
"BZN|DK2","02.01.2025 02:00 - 02.01.2025 03:00 (CET/CEST)","273","n/e","n/e","n/e","41","64","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","635","281"
"BZN|DK2","02.01.2025 03:00 - 02.01.2025 04:00 (CET/CEST)","255","n/e","n/e","n/e","42","64","13","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","874","311"
"BZN|DK2","02.01.2025 04:00 - 02.01.2025 05:00 (CET/CEST)","293","n/e","n/e","n/e","64","101","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","735","354"
"BZN|DK2","02.01.2025 05:00 - 02.01.2025 06:00 (CET/CEST)","350","n/e","n/e","n/e","83","135","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","865","370"
"BZN|DK2","02.01.2025 06:00 - 02.01.2025 07:00 (CET/CEST)","421","n/e","n/e","n/e","86","145","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","914","406"
"BZN|DK2","02.01.2025 07:00 - 02.01.2025 08:00 (CET/CEST)","482","n/e","n/e","n/e","117","197","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","50","899","373"
"BZN|DK2","02.01.2025 08:00 - 02.01.2025 09:00 (CET/CEST)","479","n/e","n/e","n/e","126","217","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","50","862","273"
"BZN|DK2","02.01.2025 09:00 - 02.01.2025 10:00 (CET/CEST)","478","n/e","n/e","n/e","127","218","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","50","788","190"
"BZN|DK2","02.01.2025 10:00 - 02.01.2025 11:00 (CET/CEST)","481","n/e","n/e","n/e","127","219","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","142","50","720","163"
"BZN|DK2","02.01.2025 11:00 - 02.01.2025 12:00 (CET/CEST)","507","n/e","n/e","n/e","99","229","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","49","701","121"
"BZN|DK2","02.01.2025 12:00 - 02.01.2025 13:00 (CET/CEST)","511","n/e","n/e","n/e","96","228","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","296","49","659","113"
"BZN|DK2","02.01.2025 13:00 - 02.01.2025 14:00 (CET/CEST)","534","n/e","n/e","n/e","85","209","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","248","49","502","97"
"BZN|DK2","02.01.2025 14:00 - 02.01.2025 15:00 (CET/CEST)","574","n/e","n/e","n/e","80","201","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","137","53","447","82"
"BZN|DK2","02.01.2025 15:00 - 02.01.2025 16:00 (CET/CEST)","579","n/e","n/e","n/e","80","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","54","425","101"
"BZN|DK2","02.01.2025 16:00 - 02.01.2025 17:00 (CET/CEST)","576","n/e","n/e","n/e","79","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","461","137"
"BZN|DK2","02.01.2025 17:00 - 02.01.2025 18:00 (CET/CEST)","555","n/e","n/e","n/e","78","199","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","493","197"
"BZN|DK2","02.01.2025 18:00 - 02.01.2025 19:00 (CET/CEST)","559","n/e","n/e","n/e","78","198","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","711","235"
"BZN|DK2","02.01.2025 19:00 - 02.01.2025 20:00 (CET/CEST)","556","n/e","n/e","n/e","79","201","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","51","784","254"
"BZN|DK2","02.01.2025 20:00 - 02.01.2025 21:00 (CET/CEST)","493","n/e","n/e","n/e","93","224","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","826","252"
"BZN|DK2","02.01.2025 21:00 - 02.01.2025 22:00 (CET/CEST)","485","n/e","n/e","n/e","92","221","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","802","258"
"BZN|DK2","02.01.2025 22:00 - 02.01.2025 23:00 (CET/CEST)","488","n/e","n/e","n/e","92","221","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","810","239"
"BZN|DK2","02.01.2025 23:00 - 03.01.2025 00:00 (CET/CEST)","490","n/e","n/e","n/e","92","221","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","41","819","214"
"BZN|DK2","03.01.2025 00:00 - 03.01.2025 01:00 (CET/CEST)","487","n/e","n/e","n/e","88","211","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","762","211"
"BZN|DK2","03.01.2025 01:00 - 03.01.2025 02:00 (CET/CEST)","491","n/e","n/e","n/e","73","137","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","761","197"
"BZN|DK2","03.01.2025 02:00 - 03.01.2025 03:00 (CET/CEST)","486","n/e","n/e","n/e","60","113","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","37","777","206"
"BZN|DK2","03.01.2025 03:00 - 03.01.2025 04:00 (CET/CEST)","478","n/e","n/e","n/e","47","92","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","822","277"
"BZN|DK2","03.01.2025 04:00 - 03.01.2025 05:00 (CET/CEST)","471","n/e","n/e","n/e","48","93","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","37","869","337"
"BZN|DK2","03.01.2025 05:00 - 03.01.2025 06:00 (CET/CEST)","473","n/e","n/e","n/e","48","93","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","38","916","394"
"BZN|DK2","03.01.2025 06:00 - 03.01.2025 07:00 (CET/CEST)","477","n/e","n/e","n/e","50","110","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","38","934","429"
"BZN|DK2","03.01.2025 07:00 - 03.01.2025 08:00 (CET/CEST)","476","n/e","n/e","n/e","67","179","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","40","936","464"
"BZN|DK2","03.01.2025 08:00 - 03.01.2025 09:00 (CET/CEST)","479","n/e","n/e","n/e","55","162","25","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","40","932","479"
"BZN|DK2","03.01.2025 09:00 - 03.01.2025 10:00 (CET/CEST)","476","n/e","n/e","n/e","51","125","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","46","909","430"
"BZN|DK2","03.01.2025 10:00 - 03.01.2025 11:00 (CET/CEST)","477","n/e","n/e","n/e","51","146","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","71","45","880","399"
"BZN|DK2","03.01.2025 11:00 - 03.01.2025 12:00 (CET/CEST)","470","n/e","n/e","n/e","51","147","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","152","44","915","446"
"BZN|DK2","03.01.2025 12:00 - 03.01.2025 13:00 (CET/CEST)","467","n/e","n/e","n/e","50","101","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","210","39","928","470"
"BZN|DK2","03.01.2025 13:00 - 03.01.2025 14:00 (CET/CEST)","471","n/e","n/e","n/e","47","96","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","199","36","931","484"
"BZN|DK2","03.01.2025 14:00 - 03.01.2025 15:00 (CET/CEST)","475","n/e","n/e","n/e","50","99","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","138","38","926","455"
"BZN|DK2","03.01.2025 15:00 - 03.01.2025 16:00 (CET/CEST)","476","n/e","n/e","n/e","61","134","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","46","913","450"
"BZN|DK2","03.01.2025 16:00 - 03.01.2025 17:00 (CET/CEST)","479","n/e","n/e","n/e","81","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","913","462"
"BZN|DK2","03.01.2025 17:00 - 03.01.2025 18:00 (CET/CEST)","481","n/e","n/e","n/e","81","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","935","455"
"BZN|DK2","03.01.2025 18:00 - 03.01.2025 19:00 (CET/CEST)","477","n/e","n/e","n/e","81","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","49","929","439"
"BZN|DK2","03.01.2025 19:00 - 03.01.2025 20:00 (CET/CEST)","476","n/e","n/e","n/e","77","198","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","48","929","399"
"BZN|DK2","03.01.2025 20:00 - 03.01.2025 21:00 (CET/CEST)","478","n/e","n/e","n/e","60","170","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","927","377"
"BZN|DK2","03.01.2025 21:00 - 03.01.2025 22:00 (CET/CEST)","472","n/e","n/e","n/e","59","168","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","919","347"
