"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"01.01.2025 00:00 - 01.01.2025 01:00","2.00","","","","2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 01:00 - 01.01.2025 02:00","1.93","","","","1.93","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 02:00 - 01.01.2025 03:00","1.93","","","","1.93","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 03:00 - 01.01.2025 04:00","1.43","","","","1.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 04:00 - 01.01.2025 05:00","1.04","","","","1.04","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 05:00 - 01.01.2025 06:00","2.28","","","","2.28","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 06:00 - 01.01.2025 07:00","1.15","","","","1.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 07:00 - 01.01.2025 08:00","-16.08","","","","-16.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 08:00 - 01.01.2025 09:00","-1.00","","","","-1.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 09:00 - 01.01.2025 10:00","0.00","","","","0.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 10:00 - 01.01.2025 11:00","-2.00","","","","-2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 11:00 - 01.01.2025 12:00","-1.00","","","","-1.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 12:00 - 01.01.2025 13:00","2.00","","","","2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 13:00 - 01.01.2025 14:00","3.81","","","","3.81","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 14:00 - 01.01.2025 15:00","4.50","","","","4.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 15:00 - 01.01.2025 16:00","-8.74","","","","-8.74","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 16:00 - 01.01.2025 17:00","-2.00","","","","-2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 17:00 - 01.01.2025 18:00","-4.83","","","","-4.83","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 18:00 - 01.01.2025 19:00","-3.62","","","","-3.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 19:00 - 01.01.2025 20:00","-3.62","","","","-3.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 20:00 - 01.01.2025 21:00","-20.00","","","","-20.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 21:00 - 01.01.2025 22:00","-6.85","","","","-6.85","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 22:00 - 01.01.2025 23:00","-5.00","","","","-5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2025 23:00 - 02.01.2025 00:00","-2.00","","","","-2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 00:00 - 02.01.2025 01:00","-2.00","","","","-2.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 01:00 - 02.01.2025 02:00","1.00","","","","1.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 02:00 - 02.01.2025 03:00","1.00","","","","1.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 03:00 - 02.01.2025 04:00","-7.91","","","","-7.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 04:00 - 02.01.2025 05:00","-7.91","","","","-7.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 05:00 - 02.01.2025 06:00","-2.52","","","","-2.52","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 06:00 - 02.01.2025 07:00","1.00","","","","1.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 07:00 - 02.01.2025 08:00","98.83","","","","98.83","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 08:00 - 02.01.2025 09:00","121.53","","","","121.53","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 09:00 - 02.01.2025 10:00","127.23","","","","127.23","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 10:00 - 02.01.2025 11:00","124.53","","","","124.53","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 11:00 - 02.01.2025 12:00","111.58","","","","111.58","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 12:00 - 02.01.2025 13:00","100.40","","","","100.40","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 13:00 - 02.01.2025 14:00","105.49","","","","105.49","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 14:00 - 02.01.2025 15:00","111.79","","","","111.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 15:00 - 02.01.2025 16:00","126.79","","","","126.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 16:00 - 02.01.2025 17:00","135.27","","","","135.27","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 17:00 - 02.01.2025 18:00","149.78","","","","149.78","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 18:00 - 02.01.2025 19:00","145.92","","","","145.92","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 19:00 - 02.01.2025 20:00","107.37","","","","107.37","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 20:00 - 02.01.2025 21:00","102.61","","","","102.61","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 21:00 - 02.01.2025 22:00","77.94","","","","77.94","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 22:00 - 02.01.2025 23:00","61.50","","","","61.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2025 23:00 - 03.01.2025 00:00","49.00","","","","49.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 00:00 - 03.01.2025 01:00","43.10","","","","43.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 01:00 - 03.01.2025 02:00","45.00","","","","45.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 02:00 - 03.01.2025 03:00","45.00","","","","45.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 03:00 - 03.01.2025 04:00","40.61","","","","40.61","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 04:00 - 03.01.2025 05:00","37.00","","","","37.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 05:00 - 03.01.2025 06:00","37.00","","","","37.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 06:00 - 03.01.2025 07:00","39.23","","","","39.23","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 07:00 - 03.01.2025 08:00","52.09","","","","52.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 08:00 - 03.01.2025 09:00","-12.07","","","","-12.07","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 09:00 - 03.01.2025 10:00","-1.34","","","","-1.34","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 10:00 - 03.01.2025 11:00","42.00","","","","42.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 11:00 - 03.01.2025 12:00","67.54","","","","67.54","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 12:00 - 03.01.2025 13:00","55.95","","","","55.95","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 13:00 - 03.01.2025 14:00","54.40","","","","54.40","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 14:00 - 03.01.2025 15:00","53.75","","","","53.75","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 15:00 - 03.01.2025 16:00","72.89","","","","72.89","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 16:00 - 03.01.2025 17:00","13.41","","","","13.41","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 17:00 - 03.01.2025 18:00","105.79","","","","105.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 18:00 - 03.01.2025 19:00","108.51","","","","108.51","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 19:00 - 03.01.2025 20:00","100.69","","","","100.69","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 20:00 - 03.01.2025 21:00","82.76","","","","82.76","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 21:00 - 03.01.2025 22:00","87.00","","","","87.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 22:00 - 03.01.2025 23:00","70.00","","","","70.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2025 23:00 - 04.01.2025 00:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 00:00 - 04.01.2025 01:00","187.00","","","","187.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 01:00 - 04.01.2025 02:00","200.42","","","","200.42","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 02:00 - 04.01.2025 03:00","134.72","","","","134.72","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 03:00 - 04.01.2025 04:00","91.53","","","","91.53","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 04:00 - 04.01.2025 05:00","95.95","","","","95.95","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 05:00 - 04.01.2025 06:00","102.11","","","","102.11","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 06:00 - 04.01.2025 07:00","110.66","","","","110.66","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 07:00 - 04.01.2025 08:00","119.96","","","","119.96","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 08:00 - 04.01.2025 09:00","128.39","","","","128.39","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 09:00 - 04.01.2025 10:00","130.75","","","","130.75","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 10:00 - 04.01.2025 11:00","130.35","","","","130.35","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 11:00 - 04.01.2025 12:00","128.29","","","","128.29","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 12:00 - 04.01.2025 13:00","130.03","","","","130.03","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 13:00 - 04.01.2025 14:00","129.85","","","","129.85","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 14:00 - 04.01.2025 15:00","136.40","","","","136.40","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 15:00 - 04.01.2025 16:00","138.73","","","","138.73","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 16:00 - 04.01.2025 17:00","142.01","","","","142.01","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 17:00 - 04.01.2025 18:00","151.24","","","","151.24","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 18:00 - 04.01.2025 19:00","145.00","","","","145.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 19:00 - 04.01.2025 20:00","145.00","","","","145.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 20:00 - 04.01.2025 21:00","129.50","","","","129.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 21:00 - 04.01.2025 22:00","122.85","","","","122.85","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 22:00 - 04.01.2025 23:00","118.29","","","","118.29","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2025 23:00 - 05.01.2025 00:00","109.50","","","","109.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 00:00 - 05.01.2025 01:00","113.85","","","","113.85","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 01:00 - 05.01.2025 02:00","100.33","","","","100.33","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 02:00 - 05.01.2025 03:00","93.61","","","","93.61","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 03:00 - 05.01.2025 04:00","177.00","","","","177.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 04:00 - 05.01.2025 05:00","201.15","","","","201.15","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 05:00 - 05.01.2025 06:00","385.88","","","","385.88","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 06:00 - 05.01.2025 07:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 07:00 - 05.01.2025 08:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 08:00 - 05.01.2025 09:00","140.00","","","","140.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 09:00 - 05.01.2025 10:00","132.00","","","","132.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2025 10:00 - 05.01.2025 11:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"05.01.2025 11:00 - 05.01.2025 12:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"05.01.2025 12:00 - 05.01.2025 13:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"05.01.2025 13:00 - 05.01.2025 14:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"05.01.2025 14:00 - 05.01.2025 15:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"05.01.2025 15:00 - 05.01.2025 16:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"05.01.2025 16:00 - 05.01.2025 17:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"05.01.2025 17:00 - 05.01.2025 18:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
