"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","01.01.2025 00:00 - 01.01.2025 01:00 (CET/CEST)","4","n/e","n/e","n/e","66","30","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","43","1452","3384"
"BZN|DK1","01.01.2025 01:00 - 01.01.2025 02:00 (CET/CEST)","4","n/e","n/e","n/e","66","31","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","43","1324","3353"
"BZN|DK1","01.01.2025 02:00 - 01.01.2025 03:00 (CET/CEST)","4","n/e","n/e","n/e","64","31","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","1","42","1041","3305"
"BZN|DK1","01.01.2025 03:00 - 01.01.2025 04:00 (CET/CEST)","4","n/e","n/e","n/e","64","31","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","1","42","1024","3235"
"BZN|DK1","01.01.2025 04:00 - 01.01.2025 05:00 (CET/CEST)","4","n/e","n/e","n/e","64","30","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","1","41","1169","3156"
"BZN|DK1","01.01.2025 05:00 - 01.01.2025 06:00 (CET/CEST)","4","n/e","n/e","n/e","63","28","5","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","1","41","1128","3066"
"BZN|DK1","01.01.2025 06:00 - 01.01.2025 07:00 (CET/CEST)","4","n/e","n/e","n/e","65","28","5","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","1","41","1365","2998"
"BZN|DK1","01.01.2025 07:00 - 01.01.2025 08:00 (CET/CEST)","5","n/e","n/e","n/e","71","28","5","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","1","42","1408","2729"
"BZN|DK1","01.01.2025 08:00 - 01.01.2025 09:00 (CET/CEST)","8","n/e","n/e","n/e","62","33","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","1","43","1412","2808"
"BZN|DK1","01.01.2025 09:00 - 01.01.2025 10:00 (CET/CEST)","120","n/e","n/e","n/e","61","33","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","2","43","1413","2678"
"BZN|DK1","01.01.2025 10:00 - 01.01.2025 11:00 (CET/CEST)","160","n/e","n/e","n/e","61","33","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","14","42","1314","2498"
"BZN|DK1","01.01.2025 11:00 - 01.01.2025 12:00 (CET/CEST)","170","n/e","n/e","n/e","60","33","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","27","43","1111","2090"
"BZN|DK1","01.01.2025 12:00 - 01.01.2025 13:00 (CET/CEST)","169","n/e","n/e","n/e","61","33","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","23","43","1045","2042"
"BZN|DK1","01.01.2025 13:00 - 01.01.2025 14:00 (CET/CEST)","172","n/e","n/e","n/e","60","32","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","19","42","1327","2135"
"BZN|DK1","01.01.2025 14:00 - 01.01.2025 15:00 (CET/CEST)","176","n/e","n/e","n/e","59","32","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","20","40","1253","2389"
"BZN|DK1","01.01.2025 15:00 - 01.01.2025 16:00 (CET/CEST)","160","n/e","n/e","n/e","64","32","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","8","44","1403","2544"
"BZN|DK1","01.01.2025 16:00 - 01.01.2025 17:00 (CET/CEST)","194","n/e","n/e","n/e","60","33","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","44","1411","2461"
"BZN|DK1","01.01.2025 17:00 - 01.01.2025 18:00 (CET/CEST)","184","n/e","n/e","n/e","61","34","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","44","1431","2282"
"BZN|DK1","01.01.2025 18:00 - 01.01.2025 19:00 (CET/CEST)","184","n/e","n/e","n/e","61","35","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","41","1413","1988"
"BZN|DK1","01.01.2025 19:00 - 01.01.2025 20:00 (CET/CEST)","191","n/e","n/e","n/e","61","36","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","40","1323","1780"
"BZN|DK1","01.01.2025 20:00 - 01.01.2025 21:00 (CET/CEST)","180","n/e","n/e","n/e","67","36","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","40","1227","1326"
"BZN|DK1","01.01.2025 21:00 - 01.01.2025 22:00 (CET/CEST)","177","n/e","n/e","n/e","61","36","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","40","1198","1010"
"BZN|DK1","01.01.2025 22:00 - 01.01.2025 23:00 (CET/CEST)","171","n/e","n/e","n/e","60","33","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","41","1197","1000"
"BZN|DK1","01.01.2025 23:00 - 02.01.2025 00:00 (CET/CEST)","177","n/e","n/e","n/e","59","33","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","40","1330","1017"
"BZN|DK1","02.01.2025 00:00 - 02.01.2025 01:00 (CET/CEST)","133","n/e","n/e","n/e","61","34","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","44","1349","1097"
"BZN|DK1","02.01.2025 01:00 - 02.01.2025 02:00 (CET/CEST)","124","n/e","n/e","n/e","61","34","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","44","1229","1333"
"BZN|DK1","02.01.2025 02:00 - 02.01.2025 03:00 (CET/CEST)","140","n/e","n/e","n/e","60","34","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","45","1379","1566"
"BZN|DK1","02.01.2025 03:00 - 02.01.2025 04:00 (CET/CEST)","123","n/e","n/e","n/e","64","33","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","45","1389","1497"
"BZN|DK1","02.01.2025 04:00 - 02.01.2025 05:00 (CET/CEST)","140","n/e","n/e","n/e","61","33","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","44","1268","1113"
