"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","02.01.2025 05:00 - 02.01.2025 06:00 (CET/CEST)","230","n/e","n/e","n/e","67","33","6","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","46","1248","834"
"BZN|DK1","02.01.2025 06:00 - 02.01.2025 07:00 (CET/CEST)","289","n/e","n/e","n/e","128","50","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","73","1268","744"
"BZN|DK1","02.01.2025 07:00 - 02.01.2025 08:00 (CET/CEST)","313","n/e","n/e","n/e","292","74","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","76","1230","578"
"BZN|DK1","02.01.2025 08:00 - 02.01.2025 09:00 (CET/CEST)","333","n/e","n/e","n/e","301","74","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","1","78","994","485"
"BZN|DK1","02.01.2025 09:00 - 02.01.2025 10:00 (CET/CEST)","353","n/e","n/e","n/e","305","71","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","82","81","863","491"
"BZN|DK1","02.01.2025 10:00 - 02.01.2025 11:00 (CET/CEST)","342","n/e","n/e","n/e","310","65","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","353","81","801","602"
"BZN|DK1","02.01.2025 11:00 - 02.01.2025 12:00 (CET/CEST)","345","n/e","n/e","n/e","300","63","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","588","80","887","689"
"BZN|DK1","02.01.2025 12:00 - 02.01.2025 13:00 (CET/CEST)","346","n/e","n/e","n/e","278","55","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","622","66","959","920"
"BZN|DK1","02.01.2025 13:00 - 02.01.2025 14:00 (CET/CEST)","347","n/e","n/e","n/e","279","53","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","424","67","1135","1229"
"BZN|DK1","02.01.2025 14:00 - 02.01.2025 15:00 (CET/CEST)","357","n/e","n/e","n/e","283","56","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","228","66","1396","1327"
"BZN|DK1","02.01.2025 15:00 - 02.01.2025 16:00 (CET/CEST)","360","n/e","n/e","n/e","304","62","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","51","67","1405","1419"
"BZN|DK1","02.01.2025 16:00 - 02.01.2025 17:00 (CET/CEST)","358","n/e","n/e","n/e","314","68","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","65","1297","1575"
"BZN|DK1","02.01.2025 17:00 - 02.01.2025 18:00 (CET/CEST)","364","n/e","n/e","n/e","318","77","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","67","1352","1743"
"BZN|DK1","02.01.2025 18:00 - 02.01.2025 19:00 (CET/CEST)","364","n/e","n/e","n/e","315","69","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","68","1397","1636"
"BZN|DK1","02.01.2025 19:00 - 02.01.2025 20:00 (CET/CEST)","363","n/e","n/e","n/e","310","78","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","68","1407","1423"
"BZN|DK1","02.01.2025 20:00 - 02.01.2025 21:00 (CET/CEST)","362","n/e","n/e","n/e","294","132","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","67","1264","1255"
"BZN|DK1","02.01.2025 21:00 - 02.01.2025 22:00 (CET/CEST)","362","n/e","n/e","n/e","184","142","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","58","1257","1012"
"BZN|DK1","02.01.2025 22:00 - 02.01.2025 23:00 (CET/CEST)","340","n/e","n/e","n/e","143","171","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","58","1132","786"
"BZN|DK1","02.01.2025 23:00 - 03.01.2025 00:00 (CET/CEST)","280","n/e","n/e","n/e","133","169","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","57","992","614"
"BZN|DK1","03.01.2025 00:00 - 03.01.2025 01:00 (CET/CEST)","277","n/e","n/e","n/e","131","138","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","56","1163","662"
"BZN|DK1","03.01.2025 01:00 - 03.01.2025 02:00 (CET/CEST)","278","n/e","n/e","n/e","138","107","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","56","1235","1155"
"BZN|DK1","03.01.2025 02:00 - 03.01.2025 03:00 (CET/CEST)","280","n/e","n/e","n/e","141","104","8","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","56","1332","1747"
"BZN|DK1","03.01.2025 03:00 - 03.01.2025 04:00 (CET/CEST)","278","n/e","n/e","n/e","140","104","8","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","55","1388","2407"
"BZN|DK1","03.01.2025 04:00 - 03.01.2025 05:00 (CET/CEST)","280","n/e","n/e","n/e","132","104","8","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","56","1418","2837"
"BZN|DK1","03.01.2025 05:00 - 03.01.2025 06:00 (CET/CEST)","280","n/e","n/e","n/e","127","105","8","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","62","1412","2808"
"BZN|DK1","03.01.2025 06:00 - 03.01.2025 07:00 (CET/CEST)","278","n/e","n/e","n/e","157","108","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","68","1401","2809"
"BZN|DK1","03.01.2025 07:00 - 03.01.2025 08:00 (CET/CEST)","277","n/e","n/e","n/e","158","107","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","70","1432","2747"
"BZN|DK1","03.01.2025 08:00 - 03.01.2025 09:00 (CET/CEST)","296","n/e","n/e","n/e","161","113","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","79","1424","2676"
"BZN|DK1","03.01.2025 09:00 - 03.01.2025 10:00 (CET/CEST)","294","n/e","n/e","n/e","144","99","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","22","70","1430","2638"
"BZN|DK1","03.01.2025 10:00 - 03.01.2025 11:00 (CET/CEST)","299","n/e","n/e","n/e","166","53","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","130","68","1416","2423"
"BZN|DK1","03.01.2025 11:00 - 03.01.2025 12:00 (CET/CEST)","290","n/e","n/e","n/e","144","45","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","262","66","1434","2580"
"BZN|DK1","03.01.2025 12:00 - 03.01.2025 13:00 (CET/CEST)","290","n/e","n/e","n/e","141","45","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","350","64","1423","2782"
"BZN|DK1","03.01.2025 13:00 - 03.01.2025 14:00 (CET/CEST)","289","n/e","n/e","n/e","149","47","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","359","62","1417","2781"
"BZN|DK1","03.01.2025 14:00 - 03.01.2025 15:00 (CET/CEST)","277","n/e","n/e","n/e","142","106","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","212","64","1397","2748"
"BZN|DK1","03.01.2025 15:00 - 03.01.2025 16:00 (CET/CEST)","274","n/e","n/e","n/e","143","140","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","34","65","1388","2649"
"BZN|DK1","03.01.2025 16:00 - 03.01.2025 17:00 (CET/CEST)","282","n/e","n/e","n/e","199","144","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","75","1348","2359"
"BZN|DK1","03.01.2025 17:00 - 03.01.2025 18:00 (CET/CEST)","303","n/e","n/e","n/e","241","178","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","76","1378","2006"
"BZN|DK1","03.01.2025 18:00 - 03.01.2025 19:00 (CET/CEST)","304","n/e","n/e","n/e","260","250","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","76","1430","1590"
"BZN|DK1","03.01.2025 19:00 - 03.01.2025 20:00 (CET/CEST)","303","n/e","n/e","n/e","252","267","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","60","1434","1173"
"BZN|DK1","03.01.2025 20:00 - 03.01.2025 21:00 (CET/CEST)","301","n/e","n/e","n/e","244","177","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","61","1405","914"
"BZN|DK1","03.01.2025 21:00 - 03.01.2025 22:00 (CET/CEST)","284","n/e","n/e","n/e","257","121","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","58","1323","835"
"BZN|DK1","03.01.2025 22:00 - 03.01.2025 23:00 (CET/CEST)","298","n/e","n/e","n/e","236","85","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","53","1196","661"
"BZN|DK1","03.01.2025 23:00 - 04.01.2025 00:00 (CET/CEST)","295","n/e","n/e","n/e","238","105","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","53","844","531"
"BZN|DK1","04.01.2025 00:00 - 04.01.2025 01:00 (CET/CEST)","302","n/e","n/e","n/e","241","63","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","74","572","415"
"BZN|DK1","04.01.2025 01:00 - 04.01.2025 02:00 (CET/CEST)","293","n/e","n/e","n/e","275","78","15","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","2","0","76","388","383"
"BZN|DK1","04.01.2025 02:00 - 04.01.2025 03:00 (CET/CEST)","283","n/e","n/e","n/e","228","68","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","77","319","396"
"BZN|DK1","04.01.2025 03:00 - 04.01.2025 04:00 (CET/CEST)","282","n/e","n/e","n/e","220","147","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","77","347","477"
"BZN|DK1","04.01.2025 04:00 - 04.01.2025 05:00 (CET/CEST)","282","n/e","n/e","n/e","240","169","10","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","76","341","566"
"BZN|DK1","04.01.2025 05:00 - 04.01.2025 06:00 (CET/CEST)","288","n/e","n/e","n/e","246","184","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","76","354","613"
"BZN|DK1","04.01.2025 06:00 - 04.01.2025 07:00 (CET/CEST)","306","n/e","n/e","n/e","253","190","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","75","520","713"
"BZN|DK1","04.01.2025 07:00 - 04.01.2025 08:00 (CET/CEST)","296","n/e","n/e","n/e","295","238","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","1","78","569","715"
"BZN|DK1","04.01.2025 08:00 - 04.01.2025 09:00 (CET/CEST)","304","n/e","n/e","n/e","302","296","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","1","78","611","722"
"BZN|DK1","04.01.2025 09:00 - 04.01.2025 10:00 (CET/CEST)","305","n/e","n/e","n/e","308","296","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","17","77","635","644"
"BZN|DK1","04.01.2025 10:00 - 04.01.2025 11:00 (CET/CEST)","305","n/e","n/e","n/e","306","295","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","72","77","550","645"
"BZN|DK1","04.01.2025 11:00 - 04.01.2025 12:00 (CET/CEST)","302","n/e","n/e","n/e","303","279","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","145","77","706","663"
"BZN|DK1","04.01.2025 12:00 - 04.01.2025 13:00 (CET/CEST)","304","n/e","n/e","n/e","296","284","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","149","76","551","637"
"BZN|DK1","04.01.2025 13:00 - 04.01.2025 14:00 (CET/CEST)","298","n/e","n/e","n/e","294","289","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","143","77","711","549"
"BZN|DK1","04.01.2025 14:00 - 04.01.2025 15:00 (CET/CEST)","305","n/e","n/e","n/e","311","301","16","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","2","81","78","796","457"
"BZN|DK1","04.01.2025 15:00 - 04.01.2025 16:00 (CET/CEST)","306","n/e","n/e","n/e","317","307","17","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","3","26","78","742","477"
"BZN|DK1","04.01.2025 16:00 - 04.01.2025 17:00 (CET/CEST)","306","n/e","n/e","n/e","332","309","17","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","3","0","77","654","473"
"BZN|DK1","04.01.2025 17:00 - 04.01.2025 18:00 (CET/CEST)","305","n/e","n/e","n/e","331","308","17","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","3","0","78","531","432"
"BZN|DK1","04.01.2025 18:00 - 04.01.2025 19:00 (CET/CEST)","307","n/e","n/e","n/e","333","306","17","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","3","0","76","433","363"
"BZN|DK1","04.01.2025 19:00 - 04.01.2025 20:00 (CET/CEST)","305","n/e","n/e","n/e","339","296","17","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","3","0","77","370","344"
"BZN|DK1","04.01.2025 20:00 - 04.01.2025 21:00 (CET/CEST)","306","n/e","n/e","n/e","324","303","16","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","3","0","78","332","343"
"BZN|DK1","04.01.2025 21:00 - 04.01.2025 22:00 (CET/CEST)","305","n/e","n/e","n/e","292","276","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","77","341","404"
"BZN|DK1","04.01.2025 22:00 - 04.01.2025 23:00 (CET/CEST)","303","n/e","n/e","n/e","272","264","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","75","314","389"
"BZN|DK1","04.01.2025 23:00 - 05.01.2025 00:00 (CET/CEST)","305","n/e","n/e","n/e","267","262","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","74","328","397"
"BZN|DK1","05.01.2025 00:00 - 05.01.2025 01:00 (CET/CEST)","293","n/e","n/e","n/e","253","266","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","62","333","479"
"BZN|DK1","05.01.2025 01:00 - 05.01.2025 02:00 (CET/CEST)","304","n/e","n/e","n/e","256","266","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","62","310","529"
"BZN|DK1","05.01.2025 02:00 - 05.01.2025 03:00 (CET/CEST)","305","n/e","n/e","n/e","253","263","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","62","261","512"
"BZN|DK1","05.01.2025 03:00 - 05.01.2025 04:00 (CET/CEST)","302","n/e","n/e","n/e","253","268","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","63","255","554"
"BZN|DK1","05.01.2025 04:00 - 05.01.2025 05:00 (CET/CEST)","305","n/e","n/e","n/e","305","286","17","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","2","0","64","271","589"
"BZN|DK1","05.01.2025 05:00 - 05.01.2025 06:00 (CET/CEST)","316","n/e","n/e","n/e","334","297","19","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","2","0","65","219","687"
"BZN|DK1","05.01.2025 06:00 - 05.01.2025 07:00 (CET/CEST)","318","n/e","n/e","n/e","256","271","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","63","243","742"
"BZN|DK1","05.01.2025 07:00 - 05.01.2025 08:00 (CET/CEST)","303","n/e","n/e","n/e","253","272","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","64","390","787"
"BZN|DK1","05.01.2025 08:00 - 05.01.2025 09:00 (CET/CEST)","304","n/e","n/e","n/e","227","280","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","62","656","776"
"BZN|DK1","05.01.2025 09:00 - 05.01.2025 10:00 (CET/CEST)","187","n/e","n/e","n/e","256","186","12","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","4","61","990","704"
"BZN|DK1","05.01.2025 10:00 - 05.01.2025 11:00 (CET/CEST)","34","n/e","n/e","n/e","245","124","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","23","59","1011","666"
"BZN|DK1","05.01.2025 11:00 - 05.01.2025 12:00 (CET/CEST)","35","n/e","n/e","n/e","287","132","13","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","45","60","986","703"
"BZN|DK1","05.01.2025 12:00 - 05.01.2025 13:00 (CET/CEST)","35","n/e","n/e","n/e","282","112","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","50","59","1023","717"
"BZN|DK1","05.01.2025 13:00 - 05.01.2025 14:00 (CET/CEST)","31","n/e","n/e","n/e","255","124","14","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","48","61","1061","732"
"BZN|DK1","05.01.2025 14:00 - 05.01.2025 15:00 (CET/CEST)","29","n/e","n/e","n/e","185","99","16","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","35","58","1022","722"
"BZN|DK1","05.01.2025 15:00 - 05.01.2025 16:00 (CET/CEST)","29","n/e","n/e","n/e","172","94","7","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","10","58","1129","897"
"BZN|DK1","05.01.2025 16:00 - 05.01.2025 17:00 (CET/CEST)","30","n/e","n/e","n/e","182","100","9","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","59","1295","1171"
"BZN|DK1","05.01.2025 17:00 - 05.01.2025 18:00 (CET/CEST)","33","n/e","n/e","n/e","192","111","11","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","60","1360","1582"
"BZN|DK1","05.01.2025 18:00 - 05.01.2025 19:00 (CET/CEST)","33","n/e","n/e","n/e","174","95","8","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","42","1384","1949"
"BZN|DK1","05.01.2025 19:00 - 05.01.2025 20:00 (CET/CEST)","34","n/e","n/e","n/e","165","93","8","n/e","n/e","n/e","n/e","n/e","3","n/e","n/e","n/e","n/e","1","0","40","1421","2325"
