"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - IBA|DK2","Generation / - Imbalance price [Currency/MWh] - IBA|DK2","Price for consumption [Currency/MWh] - IBA|DK2","Currency","Status","Total Imbalance [MWh] - IBA|DK2","Difference","Situation","Status"
"03.01.2023 05:00 - 03.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","140","","Deficit","Final"
"03.01.2023 06:00 - 03.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","77","","Deficit","Final"
"03.01.2023 07:00 - 03.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","34","","Surplus","Final"
"03.01.2023 08:00 - 03.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","132","","Surplus","Final"
"03.01.2023 09:00 - 03.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","38","","Surplus","Final"
"03.01.2023 10:00 - 03.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","198","","Deficit","Final"
"03.01.2023 11:00 - 03.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","149","","Deficit","Final"
"03.01.2023 12:00 - 03.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","327","","Deficit","Final"
"03.01.2023 13:00 - 03.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","223","","Deficit","Final"
"03.01.2023 14:00 - 03.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","341","","Surplus","Final"
"03.01.2023 15:00 - 03.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","22","","Surplus","Final"
"03.01.2023 16:00 - 03.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","70","","Deficit","Final"
"03.01.2023 17:00 - 03.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","40","","Deficit","Final"
"03.01.2023 18:00 - 03.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","105","","Deficit","Final"
"03.01.2023 19:00 - 03.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","241","","Deficit","Final"
"03.01.2023 20:00 - 03.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","54","","Deficit","Final"
"03.01.2023 21:00 - 03.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","78","","Deficit","Final"
"03.01.2023 22:00 - 03.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","68","","Deficit","Final"
"03.01.2023 23:00 - 04.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","91","","Deficit","Final"
"04.01.2023 00:00 - 04.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","18","","Surplus","Final"
"04.01.2023 01:00 - 04.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","13","","Surplus","Final"
"04.01.2023 02:00 - 04.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","52","","Surplus","Final"
"04.01.2023 03:00 - 04.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","72","","Deficit","Final"
"04.01.2023 04:00 - 04.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","48","","Deficit","Final"
"04.01.2023 05:00 - 04.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","14","","Deficit","Final"
"04.01.2023 06:00 - 04.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","2","","Surplus","Final"
"04.01.2023 07:00 - 04.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","25","","Deficit","Final"
"04.01.2023 08:00 - 04.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","493","","Surplus","Final"
"04.01.2023 09:00 - 04.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","846","","Surplus","Final"
"04.01.2023 10:00 - 04.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","758","","Surplus","Final"
"04.01.2023 11:00 - 04.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","404","","Surplus","Final"
"04.01.2023 12:00 - 04.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","526","","Surplus","Final"
"04.01.2023 13:00 - 04.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","700","","Surplus","Final"
"04.01.2023 14:00 - 04.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","650","","Surplus","Final"
"04.01.2023 15:00 - 04.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","684","","Surplus","Final"
"04.01.2023 16:00 - 04.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","410","","Surplus","Final"
"04.01.2023 17:00 - 04.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","262","","Surplus","Final"
"04.01.2023 18:00 - 04.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","444","","Surplus","Final"
"04.01.2023 19:00 - 04.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","139","","Surplus","Final"
"04.01.2023 20:00 - 04.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","107","","Deficit","Final"
"04.01.2023 21:00 - 04.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","216","","Deficit","Final"
"04.01.2023 22:00 - 04.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","26","","Surplus","Final"
"04.01.2023 23:00 - 05.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","109","","Deficit","Final"
"05.01.2023 00:00 - 05.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","144","","Deficit","Final"
"05.01.2023 01:00 - 05.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","58","","Deficit","Final"
"05.01.2023 02:00 - 05.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","84","","Surplus","Final"
"05.01.2023 03:00 - 05.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","144","","Surplus","Final"
"05.01.2023 04:00 - 05.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","108","","Deficit","Final"
"05.01.2023 05:00 - 05.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","38","","Surplus","Final"
"05.01.2023 06:00 - 05.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","314","","Surplus","Final"
"05.01.2023 07:00 - 05.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","61","","Surplus","Final"
"05.01.2023 08:00 - 05.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","19","","Deficit","Final"
"05.01.2023 09:00 - 05.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","88","","Deficit","Final"
"05.01.2023 10:00 - 05.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","62","","Surplus","Final"
"05.01.2023 11:00 - 05.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","209","","Surplus","Final"
"05.01.2023 12:00 - 05.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","78","","Surplus","Final"
"05.01.2023 13:00 - 05.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","80","","Deficit","Final"
"05.01.2023 14:00 - 05.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","153","","Surplus","Final"
"05.01.2023 15:00 - 05.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","54","","Surplus","Final"
"05.01.2023 16:00 - 05.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","151","","Deficit","Final"
"05.01.2023 17:00 - 05.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","386","","Deficit","Final"
"05.01.2023 18:00 - 05.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","400","","Deficit","Final"
"05.01.2023 19:00 - 05.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","287","","Deficit","Final"
"05.01.2023 20:00 - 05.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","201","","Deficit","Final"
"05.01.2023 21:00 - 05.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","116","","Deficit","Final"
"05.01.2023 22:00 - 05.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","98","","Deficit","Final"
"05.01.2023 23:00 - 06.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","254","","Deficit","Final"
"06.01.2023 00:00 - 06.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","302","","Surplus","Final"
"06.01.2023 01:00 - 06.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","272","","Surplus","Final"
"06.01.2023 02:00 - 06.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","19","","Surplus","Final"
"06.01.2023 03:00 - 06.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","324","","Surplus","Final"
"06.01.2023 04:00 - 06.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","285","","Surplus","Final"
"06.01.2023 05:00 - 06.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","17","","Surplus","Final"
"06.01.2023 06:00 - 06.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","49","","Deficit","Final"
"06.01.2023 07:00 - 06.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","75","","Deficit","Final"
"06.01.2023 08:00 - 06.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","55","","Deficit","Final"
"06.01.2023 09:00 - 06.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","28","","Deficit","Final"
"06.01.2023 10:00 - 06.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","71","","Surplus","Final"
"06.01.2023 11:00 - 06.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","39","","Deficit","Final"
"06.01.2023 12:00 - 06.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","75","","Deficit","Final"
"06.01.2023 13:00 - 06.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","226","","Deficit","Final"
"06.01.2023 14:00 - 06.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","18","","Surplus","Final"
"06.01.2023 15:00 - 06.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","161","","Deficit","Final"
"06.01.2023 16:00 - 06.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","93","","Deficit","Final"
"06.01.2023 17:00 - 06.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","35","","Deficit","Final"
"06.01.2023 18:00 - 06.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","5","","Surplus","Final"
"06.01.2023 19:00 - 06.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","80","","Deficit","Final"
"06.01.2023 20:00 - 06.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","130","","Deficit","Final"
"06.01.2023 21:00 - 06.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","181","","Deficit","Final"
"06.01.2023 22:00 - 06.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","88","","Deficit","Final"
"06.01.2023 23:00 - 07.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","100","","Deficit","Final"
"07.01.2023 00:00 - 07.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","103","","Deficit","Final"
"07.01.2023 01:00 - 07.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","37","","Surplus","Final"
"07.01.2023 02:00 - 07.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","51","","Deficit","Final"
"07.01.2023 03:00 - 07.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","62","","Deficit","Final"
"07.01.2023 04:00 - 07.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","68","","Deficit","Final"
"07.01.2023 05:00 - 07.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","114","","Deficit","Final"
"07.01.2023 06:00 - 07.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","106","","Deficit","Final"
"07.01.2023 07:00 - 07.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","81","","Deficit","Final"
"07.01.2023 08:00 - 07.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","28","","Deficit","Final"
"07.01.2023 09:00 - 07.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","124","","Deficit","Final"
"07.01.2023 10:00 - 07.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","185","","Deficit","Final"
"07.01.2023 11:00 - 07.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","137","","Deficit","Final"
"07.01.2023 12:00 - 07.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","256","","Deficit","Final"
"07.01.2023 13:00 - 07.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","324","","Deficit","Final"
"07.01.2023 14:00 - 07.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","129","","Deficit","Final"
"07.01.2023 15:00 - 07.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","33","","Deficit","Final"
"07.01.2023 16:00 - 07.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","11","","Surplus","Final"
"07.01.2023 17:00 - 07.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","140","","Surplus","Final"
"07.01.2023 18:00 - 07.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","126","","Deficit","Final"
"07.01.2023 19:00 - 07.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","196","","Deficit","Final"
"07.01.2023 20:00 - 07.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","217","","Deficit","Final"
"07.01.2023 21:00 - 07.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","122","","Deficit","Final"
"07.01.2023 22:00 - 07.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","381","","Deficit","Final"
"07.01.2023 23:00 - 08.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","665","","Deficit","Final"
"08.01.2023 00:00 - 08.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","165","","Deficit","Final"
"08.01.2023 01:00 - 08.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","261","","Deficit","Final"
"08.01.2023 02:00 - 08.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","393","","Deficit","Final"
"08.01.2023 03:00 - 08.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","494","","Deficit","Final"
"08.01.2023 04:00 - 08.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","478","","Deficit","Final"
"08.01.2023 05:00 - 08.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","448","","Deficit","Final"
"08.01.2023 06:00 - 08.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","368","","Deficit","Final"
"08.01.2023 07:00 - 08.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","177","","Deficit","Final"
"08.01.2023 08:00 - 08.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","36","","Deficit","Final"
"08.01.2023 09:00 - 08.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","71","","Deficit","Final"
"08.01.2023 10:00 - 08.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","39","","Deficit","Final"
"08.01.2023 11:00 - 08.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","126","","Deficit","Final"
"08.01.2023 12:00 - 08.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","50","","Deficit","Final"
"08.01.2023 13:00 - 08.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","0","","Balanced","Final"
"08.01.2023 14:00 - 08.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","51","","Surplus","Final"
"08.01.2023 15:00 - 08.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","17","","Deficit","Final"
"08.01.2023 16:00 - 08.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","27","","Deficit","Final"
"08.01.2023 17:00 - 08.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","44","","Deficit","Final"
"08.01.2023 18:00 - 08.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","455","","Deficit","Final"
"08.01.2023 19:00 - 08.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","188","","Deficit","Final"
"08.01.2023 20:00 - 08.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","194","","Deficit","Final"
"08.01.2023 21:00 - 08.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","197","","Deficit","Final"
"08.01.2023 22:00 - 08.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","5","","Deficit","Final"
"08.01.2023 23:00 - 09.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","52","","Deficit","Final"
"09.01.2023 00:00 - 09.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","84","","Deficit","Final"
"09.01.2023 01:00 - 09.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","51","","Deficit","Final"
"09.01.2023 02:00 - 09.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","198","","Deficit","Final"
"09.01.2023 03:00 - 09.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","282","","Deficit","Final"
"09.01.2023 04:00 - 09.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","197","","Deficit","Final"
"09.01.2023 05:00 - 09.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","24","","Deficit","Final"
"09.01.2023 06:00 - 09.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","90","","Surplus","Final"
"09.01.2023 07:00 - 09.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","52","","Deficit","Final"
"09.01.2023 08:00 - 09.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","220","","Deficit","Final"
"09.01.2023 09:00 - 09.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","310","","Deficit","Final"
"09.01.2023 10:00 - 09.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","70","","Deficit","Final"
"09.01.2023 11:00 - 09.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","61","","Surplus","Final"
"09.01.2023 12:00 - 09.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","1","","Deficit","Final"
"09.01.2023 13:00 - 09.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","15","","Deficit","Final"
"09.01.2023 14:00 - 09.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","39","","Deficit","Final"
"09.01.2023 15:00 - 09.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","67","","Deficit","Final"
"09.01.2023 16:00 - 09.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","63","","Deficit","Final"
"09.01.2023 17:00 - 09.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","111","","Deficit","Final"
"09.01.2023 18:00 - 09.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","251","","Deficit","Final"
"09.01.2023 19:00 - 09.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","278","","Deficit","Final"
"09.01.2023 20:00 - 09.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","427","","Deficit","Final"
"09.01.2023 21:00 - 09.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","502","","Deficit","Final"
"09.01.2023 22:00 - 09.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","590","","Deficit","Final"
"09.01.2023 23:00 - 10.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","103","","Deficit","Final"
"10.01.2023 00:00 - 10.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","40","","Deficit","Final"
"10.01.2023 01:00 - 10.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","162","","Deficit","Final"
"10.01.2023 02:00 - 10.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","82","","Deficit","Final"
"10.01.2023 03:00 - 10.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","135","","Deficit","Final"
"10.01.2023 04:00 - 10.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","220","","Deficit","Final"
"10.01.2023 05:00 - 10.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","135","","Deficit","Final"
"10.01.2023 06:00 - 10.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","61","","Deficit","Final"
"10.01.2023 07:00 - 10.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","613","","Deficit","Final"
"10.01.2023 08:00 - 10.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","618","","Deficit","Final"
"10.01.2023 09:00 - 10.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","416","","Deficit","Final"
"10.01.2023 10:00 - 10.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","141","","Deficit","Final"
"10.01.2023 11:00 - 10.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","397","","Deficit","Final"
"10.01.2023 12:00 - 10.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","234","","Deficit","Final"
