"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - IBA|DK2","Generation / - Imbalance price [Currency/MWh] - IBA|DK2","Price for consumption [Currency/MWh] - IBA|DK2","Currency","Status","Total Imbalance [MWh] - IBA|DK2","Difference","Situation","Status"
"14.03.2023 01:00 - 14.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","197","","Deficit","Final"
"14.03.2023 02:00 - 14.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","25","","Surplus","Final"
"14.03.2023 03:00 - 14.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","8","","Surplus","Final"
"14.03.2023 04:00 - 14.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","1","","Deficit","Final"
"14.03.2023 05:00 - 14.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","206","","Deficit","Final"
"14.03.2023 06:00 - 14.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","142","","Deficit","Final"
"14.03.2023 07:00 - 14.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","192","","Deficit","Final"
"14.03.2023 08:00 - 14.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","329","","Deficit","Final"
"14.03.2023 09:00 - 14.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","430","","Deficit","Final"
"14.03.2023 10:00 - 14.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","2","","Deficit","Final"
"14.03.2023 11:00 - 14.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","145","","Deficit","Final"
"14.03.2023 12:00 - 14.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","101","","Surplus","Final"
"14.03.2023 13:00 - 14.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","286","","Surplus","Final"
"14.03.2023 14:00 - 14.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","357","","Surplus","Final"
"14.03.2023 15:00 - 14.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","96","","Surplus","Final"
"14.03.2023 16:00 - 14.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","138","","Surplus","Final"
"14.03.2023 17:00 - 14.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","59","","Surplus","Final"
"14.03.2023 18:00 - 14.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","87","","Surplus","Final"
"14.03.2023 19:00 - 14.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","202","","Deficit","Final"
"14.03.2023 20:00 - 14.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","369","","Deficit","Final"
"14.03.2023 21:00 - 14.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","248","","Deficit","Final"
"14.03.2023 22:00 - 14.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","579","","Deficit","Final"
"14.03.2023 23:00 - 15.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","821","","Deficit","Final"
"15.03.2023 00:00 - 15.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","383","","Deficit","Final"
"15.03.2023 01:00 - 15.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","115","","Deficit","Final"
"15.03.2023 02:00 - 15.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","118","","Deficit","Final"
"15.03.2023 03:00 - 15.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","52","","Deficit","Final"
"15.03.2023 04:00 - 15.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","162","","Deficit","Final"
"15.03.2023 05:00 - 15.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","180","","Deficit","Final"
"15.03.2023 06:00 - 15.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","47","","Surplus","Final"
"15.03.2023 07:00 - 15.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","50","","Deficit","Final"
"15.03.2023 08:00 - 15.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","172","","Deficit","Final"
"15.03.2023 09:00 - 15.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","176","","Deficit","Final"
"15.03.2023 10:00 - 15.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","69","","Deficit","Final"
"15.03.2023 11:00 - 15.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","142","","Deficit","Final"
"15.03.2023 12:00 - 15.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","197","","Deficit","Final"
"15.03.2023 13:00 - 15.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","57","","Deficit","Final"
"15.03.2023 14:00 - 15.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","21","","Surplus","Final"
"15.03.2023 15:00 - 15.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","20","","Surplus","Final"
"15.03.2023 16:00 - 15.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","398","","Surplus","Final"
"15.03.2023 17:00 - 15.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","475","","Surplus","Final"
"15.03.2023 18:00 - 15.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","47","","Deficit","Final"
"15.03.2023 19:00 - 15.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","94","","Surplus","Final"
"15.03.2023 20:00 - 15.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","90","","Deficit","Final"
"15.03.2023 21:00 - 15.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","208","","Deficit","Final"
"15.03.2023 22:00 - 15.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","626","","Deficit","Final"
"15.03.2023 23:00 - 16.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","773","","Deficit","Final"
"16.03.2023 00:00 - 16.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","594","","Deficit","Final"
"16.03.2023 01:00 - 16.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","316","","Deficit","Final"
"16.03.2023 02:00 - 16.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","501","","Deficit","Final"
"16.03.2023 03:00 - 16.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","453","","Deficit","Final"
"16.03.2023 04:00 - 16.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","319","","Deficit","Final"
"16.03.2023 05:00 - 16.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","204","","Deficit","Final"
"16.03.2023 06:00 - 16.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","48","","Deficit","Final"
"16.03.2023 07:00 - 16.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","324","","Deficit","Final"
"16.03.2023 08:00 - 16.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","491","","Deficit","Final"
"16.03.2023 09:00 - 16.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","683","","Deficit","Final"
"16.03.2023 10:00 - 16.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","567","","Deficit","Final"
"16.03.2023 11:00 - 16.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","315","","Deficit","Final"
"16.03.2023 12:00 - 16.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","189","","Deficit","Final"
"16.03.2023 13:00 - 16.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","104","","Deficit","Final"
"16.03.2023 14:00 - 16.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","8","","Deficit","Final"
"16.03.2023 15:00 - 16.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","134","","Deficit","Final"
"16.03.2023 16:00 - 16.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","155","","Deficit","Final"
"16.03.2023 17:00 - 16.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","232","","Deficit","Final"
"16.03.2023 18:00 - 16.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","293","","Deficit","Final"
"16.03.2023 19:00 - 16.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","281","","Deficit","Final"
"16.03.2023 20:00 - 16.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","215","","Deficit","Final"
"16.03.2023 21:00 - 16.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","21","","Deficit","Final"
"16.03.2023 22:00 - 16.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","40","","Deficit","Final"
"16.03.2023 23:00 - 17.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","32","","Surplus","Final"
"17.03.2023 00:00 - 17.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","12","","Deficit","Final"
"17.03.2023 01:00 - 17.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","9","","Deficit","Final"
"17.03.2023 02:00 - 17.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","15","","Deficit","Final"
"17.03.2023 03:00 - 17.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","44","","Deficit","Final"
"17.03.2023 04:00 - 17.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","78","","Deficit","Final"
"17.03.2023 05:00 - 17.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","38","","Deficit","Final"
"17.03.2023 06:00 - 17.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","195","","Deficit","Final"
"17.03.2023 07:00 - 17.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","113","","Deficit","Final"
"17.03.2023 08:00 - 17.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","300","","Deficit","Final"
"17.03.2023 09:00 - 17.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","138","","Deficit","Final"
"17.03.2023 10:00 - 17.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","159","","Deficit","Final"
"17.03.2023 11:00 - 17.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","145","","Deficit","Final"
"17.03.2023 12:00 - 17.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","141","","Deficit","Final"
"17.03.2023 13:00 - 17.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","137","","Deficit","Final"
"17.03.2023 14:00 - 17.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","459","","Deficit","Final"
"17.03.2023 15:00 - 17.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","216","","Deficit","Final"
"17.03.2023 16:00 - 17.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","73","","Deficit","Final"
"17.03.2023 17:00 - 17.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","266","","Deficit","Final"
"17.03.2023 18:00 - 17.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","334","","Deficit","Final"
"17.03.2023 19:00 - 17.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","458","","Deficit","Final"
"17.03.2023 20:00 - 17.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","215","","Deficit","Final"
"17.03.2023 21:00 - 17.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","178","","Deficit","Final"
"17.03.2023 22:00 - 17.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","116","","Deficit","Final"
"17.03.2023 23:00 - 18.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","40","","Deficit","Final"
"18.03.2023 00:00 - 18.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","15","","Deficit","Final"
"18.03.2023 01:00 - 18.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","148","","Deficit","Final"
"18.03.2023 02:00 - 18.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","249","","Deficit","Final"
"18.03.2023 03:00 - 18.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","192","","Deficit","Final"
"18.03.2023 04:00 - 18.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","55","","Deficit","Final"
"18.03.2023 05:00 - 18.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","116","","Deficit","Final"
"18.03.2023 06:00 - 18.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","56","","Surplus","Final"
"18.03.2023 07:00 - 18.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","88","","Deficit","Final"
"18.03.2023 08:00 - 18.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","204","","Deficit","Final"
"18.03.2023 09:00 - 18.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","417","","Deficit","Final"
"18.03.2023 10:00 - 18.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","451","","Deficit","Final"
"18.03.2023 11:00 - 18.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","396","","Deficit","Final"
"18.03.2023 12:00 - 18.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","368","","Deficit","Final"
"18.03.2023 13:00 - 18.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","361","","Deficit","Final"
"18.03.2023 14:00 - 18.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","521","","Deficit","Final"
"18.03.2023 15:00 - 18.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","111","","Deficit","Final"
"18.03.2023 16:00 - 18.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","94","","Deficit","Final"
"18.03.2023 17:00 - 18.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","215","","Deficit","Final"
"18.03.2023 18:00 - 18.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","178","","Deficit","Final"
"18.03.2023 19:00 - 18.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","84","","Deficit","Final"
"18.03.2023 20:00 - 18.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","42","","Deficit","Final"
"18.03.2023 21:00 - 18.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","35","","Deficit","Final"
"18.03.2023 22:00 - 18.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","104","","Deficit","Final"
"18.03.2023 23:00 - 19.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","175","","Deficit","Final"
"19.03.2023 00:00 - 19.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","81","","Deficit","Final"
"19.03.2023 01:00 - 19.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","50","","Deficit","Final"
"19.03.2023 02:00 - 19.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","49","","Deficit","Final"
"19.03.2023 03:00 - 19.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","61","","Deficit","Final"
"19.03.2023 04:00 - 19.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","33","","Deficit","Final"
"19.03.2023 05:00 - 19.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","34","","Deficit","Final"
"19.03.2023 06:00 - 19.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","8","","Deficit","Final"
"19.03.2023 07:00 - 19.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","120","","Deficit","Final"
"19.03.2023 08:00 - 19.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","84","","Deficit","Final"
"19.03.2023 09:00 - 19.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","140","","Deficit","Final"
"19.03.2023 10:00 - 19.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","115","","Deficit","Final"
"19.03.2023 11:00 - 19.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","127","","Deficit","Final"
"19.03.2023 12:00 - 19.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","19","","Surplus","Final"
"19.03.2023 13:00 - 19.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","8","","Surplus","Final"
"19.03.2023 14:00 - 19.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","2","","Deficit","Final"
"19.03.2023 15:00 - 19.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","77","","Deficit","Final"
"19.03.2023 16:00 - 19.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","147","","Deficit","Final"
"19.03.2023 17:00 - 19.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","286","","Deficit","Final"
"19.03.2023 18:00 - 19.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","145","","Deficit","Final"
"19.03.2023 19:00 - 19.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","36","","Deficit","Final"
"19.03.2023 20:00 - 19.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","142","","Deficit","Final"
"19.03.2023 21:00 - 19.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","46","","Deficit","Final"
"19.03.2023 22:00 - 19.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","283","","Deficit","Final"
"19.03.2023 23:00 - 20.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","449","","Deficit","Final"
"20.03.2023 00:00 - 20.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","351","","Deficit","Final"
"20.03.2023 01:00 - 20.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","78","","Deficit","Final"
"20.03.2023 02:00 - 20.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","301","","Deficit","Final"
"20.03.2023 03:00 - 20.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","421","","Deficit","Final"
"20.03.2023 04:00 - 20.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","457","","Deficit","Final"
"20.03.2023 05:00 - 20.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","305","","Deficit","Final"
"20.03.2023 06:00 - 20.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","186","","Deficit","Final"
"20.03.2023 07:00 - 20.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","125","","Deficit","Final"
"20.03.2023 08:00 - 20.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","148","","Deficit","Final"
"20.03.2023 09:00 - 20.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","90","","Deficit","Final"
"20.03.2023 10:00 - 20.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","190","","Deficit","Final"
"20.03.2023 11:00 - 20.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","445","","Deficit","Final"
"20.03.2023 12:00 - 20.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","466","","Deficit","Final"
"20.03.2023 13:00 - 20.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","416","","Deficit","Final"
"20.03.2023 14:00 - 20.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","315","","Deficit","Final"
"20.03.2023 15:00 - 20.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","215","","Deficit","Final"
"20.03.2023 16:00 - 20.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","218","","Deficit","Final"
"20.03.2023 17:00 - 20.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","96","","Deficit","Final"
"20.03.2023 18:00 - 20.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","110","","Deficit","Final"
"20.03.2023 19:00 - 20.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","88","","Deficit","Final"
"20.03.2023 20:00 - 20.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","21","","Deficit","Final"
"20.03.2023 21:00 - 20.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","128","","Deficit","Final"
"20.03.2023 22:00 - 20.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","277","","Deficit","Final"
"20.03.2023 23:00 - 21.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","211","","Deficit","Final"
"21.03.2023 00:00 - 21.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","106","","Deficit","Final"
"21.03.2023 01:00 - 21.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","27","","Deficit","Final"
"21.03.2023 02:00 - 21.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","14","","Deficit","Final"
"21.03.2023 03:00 - 21.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","74","","Deficit","Final"
"21.03.2023 04:00 - 21.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","81","","Deficit","Final"
"21.03.2023 05:00 - 21.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","127","","Deficit","Final"
"21.03.2023 06:00 - 21.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","20","","Deficit","Final"
"21.03.2023 07:00 - 21.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","92","","Deficit","Final"
"21.03.2023 08:00 - 21.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","164","","Deficit","Final"
"21.03.2023 09:00 - 21.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","277","","Deficit","Final"
"21.03.2023 10:00 - 21.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","287","","Deficit","Final"
"21.03.2023 11:00 - 21.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","17","","Deficit","Final"
"21.03.2023 12:00 - 21.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","9","","Surplus","Final"
"21.03.2023 13:00 - 21.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","32","","Surplus","Final"
"21.03.2023 14:00 - 21.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","54","","Deficit","Final"
"21.03.2023 15:00 - 21.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","262","","Deficit","Final"
"21.03.2023 16:00 - 21.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","382","","Deficit","Final"
"21.03.2023 17:00 - 21.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","349","","Deficit","Final"
"21.03.2023 18:00 - 21.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","108","","Deficit","Final"
"21.03.2023 19:00 - 21.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","185","","Deficit","Final"
"21.03.2023 20:00 - 21.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","371","","Deficit","Final"
"21.03.2023 21:00 - 21.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","431","","Deficit","Final"
"21.03.2023 22:00 - 21.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","337","","Deficit","Final"
"21.03.2023 23:00 - 22.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","346","","Deficit","Final"
"22.03.2023 00:00 - 22.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","8","","Deficit","Final"
"22.03.2023 01:00 - 22.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","34","","Surplus","Final"
"22.03.2023 02:00 - 22.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","258","","Deficit","Final"
"22.03.2023 03:00 - 22.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","63","","Deficit","Final"
"22.03.2023 04:00 - 22.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","55","","Deficit","Final"
"22.03.2023 05:00 - 22.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","83","","Deficit","Final"
"22.03.2023 06:00 - 22.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","38","","Deficit","Final"
"22.03.2023 07:00 - 22.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","71","","Surplus","Final"
"22.03.2023 08:00 - 22.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","86","","Surplus","Final"
"22.03.2023 09:00 - 22.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","167","","Surplus","Final"
"22.03.2023 10:00 - 22.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","240","","Surplus","Final"
"22.03.2023 11:00 - 22.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","9","","Deficit","Final"
"22.03.2023 12:00 - 22.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","24","","Deficit","Final"
"22.03.2023 13:00 - 22.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","3","","Surplus","Final"
"22.03.2023 14:00 - 22.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","143","","Deficit","Final"
"22.03.2023 15:00 - 22.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","116","","Deficit","Final"
"22.03.2023 16:00 - 22.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","395","","Deficit","Final"
"22.03.2023 17:00 - 22.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","172","","Deficit","Final"
"22.03.2023 18:00 - 22.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","110","","Deficit","Final"
"22.03.2023 19:00 - 22.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","96","","Deficit","Final"
"22.03.2023 20:00 - 22.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","1","","Surplus","Final"
"22.03.2023 21:00 - 22.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","110","","Deficit","Final"
"22.03.2023 22:00 - 22.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","201","","Deficit","Final"
"22.03.2023 23:00 - 23.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","228","","Deficit","Final"
"23.03.2023 00:00 - 23.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","227","","Deficit","Final"
"23.03.2023 01:00 - 23.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","190","","Deficit","Final"
"23.03.2023 02:00 - 23.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","175","","Deficit","Final"
"23.03.2023 03:00 - 23.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","129","","Deficit","Final"
"23.03.2023 04:00 - 23.03.2023 05:00","n/e","n/e","n/e","n/e","n/e","111","","Deficit","Final"
"23.03.2023 05:00 - 23.03.2023 06:00","n/e","n/e","n/e","n/e","n/e","57","","Surplus","Final"
"23.03.2023 06:00 - 23.03.2023 07:00","n/e","n/e","n/e","n/e","n/e","209","","Surplus","Final"
"23.03.2023 07:00 - 23.03.2023 08:00","n/e","n/e","n/e","n/e","n/e","133","","Surplus","Final"
"23.03.2023 08:00 - 23.03.2023 09:00","n/e","n/e","n/e","n/e","n/e","202","","Deficit","Final"
"23.03.2023 09:00 - 23.03.2023 10:00","n/e","n/e","n/e","n/e","n/e","3","","Surplus","Final"
"23.03.2023 10:00 - 23.03.2023 11:00","n/e","n/e","n/e","n/e","n/e","92","","Deficit","Final"
"23.03.2023 11:00 - 23.03.2023 12:00","n/e","n/e","n/e","n/e","n/e","226","","Deficit","Final"
"23.03.2023 12:00 - 23.03.2023 13:00","n/e","n/e","n/e","n/e","n/e","24","","Deficit","Final"
"23.03.2023 13:00 - 23.03.2023 14:00","n/e","n/e","n/e","n/e","n/e","83","","Surplus","Final"
"23.03.2023 14:00 - 23.03.2023 15:00","n/e","n/e","n/e","n/e","n/e","146","","Surplus","Final"
"23.03.2023 15:00 - 23.03.2023 16:00","n/e","n/e","n/e","n/e","n/e","240","","Surplus","Final"
"23.03.2023 16:00 - 23.03.2023 17:00","n/e","n/e","n/e","n/e","n/e","132","","Surplus","Final"
"23.03.2023 17:00 - 23.03.2023 18:00","n/e","n/e","n/e","n/e","n/e","127","","Deficit","Final"
"23.03.2023 18:00 - 23.03.2023 19:00","n/e","n/e","n/e","n/e","n/e","71","","Deficit","Final"
"23.03.2023 19:00 - 23.03.2023 20:00","n/e","n/e","n/e","n/e","n/e","128","","Deficit","Final"
"23.03.2023 20:00 - 23.03.2023 21:00","n/e","n/e","n/e","n/e","n/e","165","","Deficit","Final"
"23.03.2023 21:00 - 23.03.2023 22:00","n/e","n/e","n/e","n/e","n/e","159","","Deficit","Final"
"23.03.2023 22:00 - 23.03.2023 23:00","n/e","n/e","n/e","n/e","n/e","325","","Deficit","Final"
"23.03.2023 23:00 - 24.03.2023 00:00","n/e","n/e","n/e","n/e","n/e","293","","Deficit","Final"
"24.03.2023 00:00 - 24.03.2023 01:00","n/e","n/e","n/e","n/e","n/e","53","","Deficit","Final"
"24.03.2023 01:00 - 24.03.2023 02:00","n/e","n/e","n/e","n/e","n/e","13","","Surplus","Final"
"24.03.2023 02:00 - 24.03.2023 03:00","n/e","n/e","n/e","n/e","n/e","7","","Surplus","Final"
"24.03.2023 03:00 - 24.03.2023 04:00","n/e","n/e","n/e","n/e","n/e","38","","Deficit","Final"
