"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"01.01.2024 00:00 - 01.01.2024 01:00","55.00","","","","55.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 01:00 - 01.01.2024 02:00","53.87","","","","53.87","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 02:00 - 01.01.2024 03:00","53.87","","","","53.87","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 03:00 - 01.01.2024 04:00","24.48","","","","24.48","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 04:00 - 01.01.2024 05:00","36.00","","","","36.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 05:00 - 01.01.2024 06:00","36.00","","","","36.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 06:00 - 01.01.2024 07:00","40.11","","","","40.11","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 07:00 - 01.01.2024 08:00","44.00","","","","44.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 08:00 - 01.01.2024 09:00","44.00","","","","44.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 09:00 - 01.01.2024 10:00","44.00","","","","44.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 10:00 - 01.01.2024 11:00","48.00","","","","48.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 11:00 - 01.01.2024 12:00","43.51","","","","43.51","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 12:00 - 01.01.2024 13:00","60.00","","","","60.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 13:00 - 01.01.2024 14:00","60.00","","","","60.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 14:00 - 01.01.2024 15:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 15:00 - 01.01.2024 16:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 16:00 - 01.01.2024 17:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 17:00 - 01.01.2024 18:00","73.00","","","","73.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 18:00 - 01.01.2024 19:00","73.00","","","","73.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 19:00 - 01.01.2024 20:00","70.00","","","","70.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 20:00 - 01.01.2024 21:00","54.00","","","","54.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 21:00 - 01.01.2024 22:00","14.13","","","","14.13","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 22:00 - 01.01.2024 23:00","22.50","","","","22.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2024 23:00 - 02.01.2024 00:00","21.00","","","","21.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 00:00 - 02.01.2024 01:00","21.00","","","","21.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 01:00 - 02.01.2024 02:00","21.00","","","","21.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 02:00 - 02.01.2024 03:00","21.00","","","","21.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 03:00 - 02.01.2024 04:00","17.50","","","","17.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 04:00 - 02.01.2024 05:00","17.50","","","","17.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 05:00 - 02.01.2024 06:00","17.50","","","","17.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 06:00 - 02.01.2024 07:00","22.50","","","","22.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 07:00 - 02.01.2024 08:00","58.75","","","","58.75","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 08:00 - 02.01.2024 09:00","65.67","","","","65.67","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 09:00 - 02.01.2024 10:00","73.00","","","","73.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 10:00 - 02.01.2024 11:00","84.50","","","","84.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 11:00 - 02.01.2024 12:00","85.00","","","","85.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 12:00 - 02.01.2024 13:00","90.16","","","","90.16","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 13:00 - 02.01.2024 14:00","90.87","","","","90.87","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 14:00 - 02.01.2024 15:00","82.00","","","","82.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 15:00 - 02.01.2024 16:00","88.00","","","","88.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 16:00 - 02.01.2024 17:00","88.00","","","","88.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 17:00 - 02.01.2024 18:00","88.08","","","","88.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 18:00 - 02.01.2024 19:00","80.11","","","","80.11","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 19:00 - 02.01.2024 20:00","63.18","","","","63.18","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 20:00 - 02.01.2024 21:00","70.00","","","","70.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 21:00 - 02.01.2024 22:00","70.00","","","","70.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 22:00 - 02.01.2024 23:00","72.50","","","","72.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2024 23:00 - 03.01.2024 00:00","69.00","","","","69.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 00:00 - 03.01.2024 01:00","20.00","","","","20.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 01:00 - 03.01.2024 02:00","54.00","","","","54.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 02:00 - 03.01.2024 03:00","59.00","","","","59.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 03:00 - 03.01.2024 04:00","59.00","","","","59.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 04:00 - 03.01.2024 05:00","59.00","","","","59.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 05:00 - 03.01.2024 06:00","59.00","","","","59.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 06:00 - 03.01.2024 07:00","59.00","","","","59.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 07:00 - 03.01.2024 08:00","74.00","","","","74.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 08:00 - 03.01.2024 09:00","74.00","","","","74.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 09:00 - 03.01.2024 10:00","74.00","","","","74.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 10:00 - 03.01.2024 11:00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","EUR","N/A","n/e","n/e","n/e","n/e"
"03.01.2024 11:00 - 03.01.2024 12:00","74.00","","","","74.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 12:00 - 03.01.2024 13:00","66.40","","","","66.40","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 13:00 - 03.01.2024 14:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 14:00 - 03.01.2024 15:00","73.00","","","","73.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 15:00 - 03.01.2024 16:00","78.00","","","","78.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 16:00 - 03.01.2024 17:00","84.00","","","","84.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 17:00 - 03.01.2024 18:00","91.00","","","","91.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 18:00 - 03.01.2024 19:00","91.00","","","","91.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 19:00 - 03.01.2024 20:00","91.00","","","","91.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 20:00 - 03.01.2024 21:00","85.00","","","","85.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 21:00 - 03.01.2024 22:00","67.41","","","","67.41","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 22:00 - 03.01.2024 23:00","75.00","","","","75.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2024 23:00 - 04.01.2024 00:00","73.78","","","","73.78","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 00:00 - 04.01.2024 01:00","58.71","","","","58.71","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 01:00 - 04.01.2024 02:00","53.60","","","","53.60","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 02:00 - 04.01.2024 03:00","54.44","","","","54.44","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 03:00 - 04.01.2024 04:00","55.18","","","","55.18","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 04:00 - 04.01.2024 05:00","54.00","","","","54.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 05:00 - 04.01.2024 06:00","53.65","","","","53.65","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 06:00 - 04.01.2024 07:00","58.00","","","","58.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 07:00 - 04.01.2024 08:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 08:00 - 04.01.2024 09:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 09:00 - 04.01.2024 10:00","74.50","","","","74.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 10:00 - 04.01.2024 11:00","79.00","","","","79.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 11:00 - 04.01.2024 12:00","94.74","","","","94.74","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 12:00 - 04.01.2024 13:00","76.00","","","","76.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 13:00 - 04.01.2024 14:00","76.00","","","","76.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 14:00 - 04.01.2024 15:00","79.00","","","","79.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 15:00 - 04.01.2024 16:00","99.00","","","","99.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 16:00 - 04.01.2024 17:00","106.00","","","","106.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 17:00 - 04.01.2024 18:00","134.00","","","","134.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 18:00 - 04.01.2024 19:00","145.00","","","","145.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 19:00 - 04.01.2024 20:00","125.00","","","","125.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 20:00 - 04.01.2024 21:00","104.00","","","","104.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 21:00 - 04.01.2024 22:00","100.01","","","","100.01","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 22:00 - 04.01.2024 23:00","95.00","","","","95.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"04.01.2024 23:00 - 05.01.2024 00:00","88.83","","","","88.83","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 00:00 - 05.01.2024 01:00","88.83","","","","88.83","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 01:00 - 05.01.2024 02:00","78.00","","","","78.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 02:00 - 05.01.2024 03:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 03:00 - 05.01.2024 04:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 04:00 - 05.01.2024 05:00","71.00","","","","71.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 05:00 - 05.01.2024 06:00","70.00","","","","70.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 06:00 - 05.01.2024 07:00","65.00","","","","65.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 07:00 - 05.01.2024 08:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 08:00 - 05.01.2024 09:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 09:00 - 05.01.2024 10:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 10:00 - 05.01.2024 11:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 11:00 - 05.01.2024 12:00","211.51","","","","211.51","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
