"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"05.01.2024 12:00 - 05.01.2024 13:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 13:00 - 05.01.2024 14:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 14:00 - 05.01.2024 15:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 15:00 - 05.01.2024 16:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 16:00 - 05.01.2024 17:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 17:00 - 05.01.2024 18:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 18:00 - 05.01.2024 19:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 19:00 - 05.01.2024 20:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 20:00 - 05.01.2024 21:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 21:00 - 05.01.2024 22:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 22:00 - 05.01.2024 23:00","98.60","","","","98.60","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"05.01.2024 23:00 - 06.01.2024 00:00","92.87","","","","92.87","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 00:00 - 06.01.2024 01:00","103.47","","","","103.47","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 01:00 - 06.01.2024 02:00","95.00","","","","95.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 02:00 - 06.01.2024 03:00","94.33","","","","94.33","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 03:00 - 06.01.2024 04:00","93.00","","","","93.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 04:00 - 06.01.2024 05:00","92.70","","","","92.70","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 05:00 - 06.01.2024 06:00","86.50","","","","86.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 06:00 - 06.01.2024 07:00","86.50","","","","86.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 07:00 - 06.01.2024 08:00","87.43","","","","87.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 08:00 - 06.01.2024 09:00","90.87","","","","90.87","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 09:00 - 06.01.2024 10:00","82.00","","","","82.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 10:00 - 06.01.2024 11:00","82.00","","","","82.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 11:00 - 06.01.2024 12:00","105.00","","","","105.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 12:00 - 06.01.2024 13:00","104.00","","","","104.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 13:00 - 06.01.2024 14:00","98.00","","","","98.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 14:00 - 06.01.2024 15:00","96.00","","","","96.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 15:00 - 06.01.2024 16:00","98.50","","","","98.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 16:00 - 06.01.2024 17:00","110.00","","","","110.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 17:00 - 06.01.2024 18:00","120.00","","","","120.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 18:00 - 06.01.2024 19:00","119.00","","","","119.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 19:00 - 06.01.2024 20:00","119.00","","","","119.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 20:00 - 06.01.2024 21:00","104.00","","","","104.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 21:00 - 06.01.2024 22:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 22:00 - 06.01.2024 23:00","89.34","","","","89.34","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2024 23:00 - 07.01.2024 00:00","82.80","","","","82.80","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 00:00 - 07.01.2024 01:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 01:00 - 07.01.2024 02:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 02:00 - 07.01.2024 03:00","96.00","","","","96.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 03:00 - 07.01.2024 04:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 04:00 - 07.01.2024 05:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 05:00 - 07.01.2024 06:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 06:00 - 07.01.2024 07:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 07:00 - 07.01.2024 08:00","90.00","","","","90.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 08:00 - 07.01.2024 09:00","85.00","","","","85.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 09:00 - 07.01.2024 10:00","90.00","","","","90.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 10:00 - 07.01.2024 11:00","102.00","","","","102.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 11:00 - 07.01.2024 12:00","102.00","","","","102.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 12:00 - 07.01.2024 13:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 13:00 - 07.01.2024 14:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 14:00 - 07.01.2024 15:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 15:00 - 07.01.2024 16:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 16:00 - 07.01.2024 17:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 17:00 - 07.01.2024 18:00","201.11","","","","201.11","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 18:00 - 07.01.2024 19:00","260.00","","","","260.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 19:00 - 07.01.2024 20:00","179.00","","","","179.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 20:00 - 07.01.2024 21:00","114.00","","","","114.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 21:00 - 07.01.2024 22:00","114.00","","","","114.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 22:00 - 07.01.2024 23:00","114.00","","","","114.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2024 23:00 - 08.01.2024 00:00","113.00","","","","113.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 00:00 - 08.01.2024 01:00","98.00","","","","98.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 01:00 - 08.01.2024 02:00","84.32","","","","84.32","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 02:00 - 08.01.2024 03:00","81.82","","","","81.82","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 03:00 - 08.01.2024 04:00","87.00","","","","87.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 04:00 - 08.01.2024 05:00","87.00","","","","87.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 05:00 - 08.01.2024 06:00","82.10","","","","82.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 06:00 - 08.01.2024 07:00","133.00","","","","133.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 07:00 - 08.01.2024 08:00","499.12","","","","499.12","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 08:00 - 08.01.2024 09:00","1206.14","","","","1206.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 09:00 - 08.01.2024 10:00","1205.86","","","","1205.86","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 10:00 - 08.01.2024 11:00","499.12","","","","499.12","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 11:00 - 08.01.2024 12:00","293.00","","","","293.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 12:00 - 08.01.2024 13:00","133.00","","","","133.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 13:00 - 08.01.2024 14:00","93.00","","","","93.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 14:00 - 08.01.2024 15:00","102.46","","","","102.46","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 15:00 - 08.01.2024 16:00","91.18","","","","91.18","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 16:00 - 08.01.2024 17:00","90.00","","","","90.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 17:00 - 08.01.2024 18:00","132.31","","","","132.31","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 18:00 - 08.01.2024 19:00","130.01","","","","130.01","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 19:00 - 08.01.2024 20:00","129.00","","","","129.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 20:00 - 08.01.2024 21:00","129.00","","","","129.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 21:00 - 08.01.2024 22:00","129.00","","","","129.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 22:00 - 08.01.2024 23:00","132.00","","","","132.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2024 23:00 - 09.01.2024 00:00","110.00","","","","110.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 00:00 - 09.01.2024 01:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 01:00 - 09.01.2024 02:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 02:00 - 09.01.2024 03:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 03:00 - 09.01.2024 04:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 04:00 - 09.01.2024 05:00","92.00","","","","92.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 05:00 - 09.01.2024 06:00","98.00","","","","98.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 06:00 - 09.01.2024 07:00","120.00","","","","120.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 07:00 - 09.01.2024 08:00","135.00","","","","135.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 08:00 - 09.01.2024 09:00","250.00","","","","250.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 09:00 - 09.01.2024 10:00","250.00","","","","250.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 10:00 - 09.01.2024 11:00","250.00","","","","250.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 11:00 - 09.01.2024 12:00","493.48","","","","493.48","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 12:00 - 09.01.2024 13:00","126.00","","","","126.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"09.01.2024 13:00 - 09.01.2024 14:00","82.00","","","","82.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
